CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00002467,0191    ,'010620200701011636,'1001316 ,0000, 0, 0%, 25.3, 0, 0, 0, 0, 25.3,20200707
'00002467,0191    ,'010620200701013748,'1029233 ,0000, 0, 0%, 46.02, 0, 0, 0, 0, 46.02,20200707
'00002467,0197    ,'010620200701102346,'9118    ,0000, 0, 0%, 81, 0, 0, 0, 0, 81,20200707
'00002467,0197    ,'010620200701102346,'9118    ,0000, 0, 0%,-81, 0, 0, 0, 0,-81,20200707
'00002467,0192    ,'010620200701122124,'3971    ,0000, 0, 0%, 38.06, 0, 0, 0, 0, 38.06,20200707
'00002467,0192    ,'010620200701122124,'6130    ,0000, 0, 0%, 43.12, 0, 0, 0, 0, 43.12,20200707
'00002467,0194    ,'010620200701123536,'35924   ,0000, 0, 0%, 39.46, 0, 0, 0, 0, 39.46,20200707
'00002467,0194    ,'010620200701124655,'65897   ,0000, 0, 0%, 46.08, 0, 0, 0, 0, 46.08,20200707
'00002467,0191    ,'010620200703021335,'1007382 ,0000, 0, 0%, 40, 0, 0, 0, 0, 40,20200707
'00002467,0196    ,'010620200703022446,'111486  ,0000, 0, 0%,-162, 0, 0, 0, 0,-162,20200707
'00002467,0196    ,'010620200703022446,'111486  ,0000, 0, 0%, 162, 0, 0, 0, 0, 162,20200707
'00002467,0194    ,'010620200703023710,'34591   ,0000, 0, 0%, 52.56, 0, 0, 0, 0, 52.56,20200707
'00002467,0194    ,'010620200703024600,'40246   ,0000, 0, 0%, 75.86, 0, 0, 0, 0, 75.86,20200707
'00002467,0191    ,'010620200703025142,'1017686 ,0000, 0, 0%, 23.8, 0, 0, 0, 0, 23.8,20200707
'00002467,0194    ,'010620200703025410,'42832   ,0000, 0, 0%, 126.46, 0, 0, 0, 0, 126.46,20200707
'00002467,0196    ,'010620200703030543,'100340  ,0000, 0, 0%, 162, 0, 0, 0, 0, 162,20200707
'00002467,0196    ,'010620200703030543,'100340  ,0000, 0, 0%,-162, 0, 0, 0, 0,-162,20200707
'00002467,0195    ,'010620200703031248,'44553   ,0000, 0, 0%, 1338.09, 0, 0, 0, 0, 1338.09,20200707
'00002467,0195    ,'010620200703031248,'44553   ,0000, 0, 0%,-1338.09, 0, 0, 0, 0,-1338.09,20200707
'00002467,0197    ,'010620200703120108,'8799    ,0000, 0, 0%, 54, 0, 0, 0, 0, 54,20200707
'00002467,0197    ,'010620200703120108,'8799    ,0000, 0, 0%,-54, 0, 0, 0, 0,-54,20200707
'00002467,0192    ,'010620200703120255,'3580    ,0000, 0, 0%, 48.62, 0, 0, 0, 0, 48.62,20200707
'00002467,0192    ,'010620200703120305,'3581    ,0000, 0, 0%, 48.62, 0, 0, 0, 0, 48.62,20200707
'00002467,0192    ,'010620200703120337,'4458    ,0000, 0, 0%, 40, 0, 0, 0, 0, 40,20200707
'00002467,0192    ,'010620200703120345,'5108    ,0000, 0, 0%, 46.02, 0, 0, 0, 0, 46.02,20200707
'00002467,0192    ,'010620200703120414,'6131    ,0000, 0, 0%, 64.68, 0, 0, 0, 0, 64.68,20200707
'00002467,0197    ,'11234055F         ,'00007406,1112, 78.92, 0%, 0, 0, 0, 0, 0, 0,20200707
'00002467,0211    ,'11271936F         ,'00045095,1012, 13923.75, 12.54%, 1746.04, 279.37, 0, 0, 0, 2025.41,20200707
'00002467,0211    ,'11350291O         ,'00045095,1012,-250.55, 14.5%,-36.33,-5.81, 0, 0, 0,-42.14,20200707
'00002467,0211    ,'11351695F         ,'00045095,1012, 500.58, 15.82%, 79.19, 12.67, 0, 0, 0, 91.86,20200707
'00002467,0192    ,'11381776F         ,'00003580,1012, 72.51, 0%, 0, 0, 0, 0, 0, 0,20200707
'00002467,0192    ,'11381789F         ,'00003581,1012, 61.47, 0%, 0, 0, 0, 0, 0, 0,20200707
'00002467,0197    ,'11641552F         ,'00008799,0812, 102.32, 0%, 0, 0, 0, 0, 0, 0,20200707
'00002467,0211    ,'11816684F         ,'00060192,0202, 12565.03, 25%, 3141.26, 502.6, 0, 0, 0, 3643.86,20200707
'00002467,0197    ,'11856534F         ,'00007844,0712, 22.13, 0%, 0, 0, 0, 0, 0, 0,20200707
'00002467,0211    ,'11993782F         ,'00060192,0202, 1570.62, 25%, 392.66, 62.83, 0, 0, 0, 455.49,20200707
'00002467,0192    ,'12172156F         ,'00003971,0512, 116.15, 0%, 0, 0, 0, 0, 0, 0,20200707
'00002467,0197    ,'12277594F         ,'00009118,0412, 103, 0%, 0, 0, 0, 0, 0, 0,20200707
'00002467,0195    ,'12284885F         ,'00044553,0204, 3006.42, 0%, 0, 0, 0, 0, 0, 0,20200707
'00002467,0192    ,'12335759F         ,'00006130,0412, 45.21, 0%, 0, 0, 0, 0, 0, 0,20200707
